TreeName	Notes	Path identification	Stand	Plot	Subplot	YearLastRing	Sapwood	Tree height	Tree age	SectionHeight	User variable	RingCount	DataType	OffsetToNext	ImageName	Analysis Date Time	Acquisition Date Time	Modified Date Time	ImageSizeH V NBits Channel	CalibMethod XCal YCal EditedDendro	ScannerCamera Make Model Software	LensFocLength [35mm]	PathBegX BegY EndX EndY Width	RingBoundary AutoMan Meth Precise	EarlywoodDef	DensActive Media Calib	DensNSteps MatDens Interpol	DensStepsThick	DensStepsLightInt	DensStepsWoodDens	DiskArea	DiskPerim	DiskAvgDiam	DiskFormCoef	CompWoodArea	VoidArea	PathLength																																																																																																																																																																																																											
11		1	1970	1970	1970	2011	0	0	0	1.3	0	39	RINGWIDTH	1	1970-ORIGT11.tif	6/5/2012 8:46	                   		549 7838 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	409.0000 3580.0000 409.0000 7770.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	88.6491	1.333	1.206	1.862	1.65	1.291	2.2	1.82	1.671	1.396	2.031	1.862	1.989	1.82	1.714	1.418	1.968	1.883	1.904	2.031	2.285	1.714	1.968	1.904	1.862	2.518	3.385	3.068	3.956	4.041	2.645	2.666	2.581	2.645	3.025	3.639	3.257	2.391	1.671	1.25																																																																																																																																																																				
11		2	1970	1970	1970	2011	0	0	0	1.3	0	39	RINGWIDTH	1	1970-ORIGT11.tif	6/5/2012 8:46	                   		549 7838 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	409.0000 3580.0000 409.0000 68.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	74.3045	1.121	1.164	1.418	1.206	0.973	1.121	0.952	0.931	1.185	1.164	1.375	1.502	1.418	1.841	1.587	1.777	1.439	1.608	1.693	2.116	1.798	2.37	2.179	1.883	2.454	3.195	2.92	2.983	2.899	2.2	2.116	2.391	1.629	2.243	2.983	2.708	2.412	1.671	0.995																																																																																																																																																																				
13		1	1970	1970	1970	2011	0	0	0	1.3	0	28	RINGWIDTH	1	1970-ORIGT13.tif	6/5/2012 8:46	                   		627 5356 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	379.0000 2608.0000 379.0000 5288.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	56.7016	0.571	0.719	0.614	0.677	0.783	0.719	0.741	0.74	0.762	0.762	1.227	1.46	1.693	1.968	2.899	3.11	2.899	3.258	3.131	2.899	3.131	3.448	3.195	3.174	3.914	2.772	3.321	0.297																																																																																																																																																																															
17		1	1970	1970	1970	2011	0	0	0	1.3	0	39	RINGWIDTH	1	1970-ORIGT17.tif	6/5/2012 8:46	                   		627 6897 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	440.0000 3191.0000 440.0000 6829.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	76.9703	0.487	0.55	1.269	1.714	0.677	0.994	0.931	1.248	0.614	0.677	0.719	1.714	0.762	1.016	0.931	0.889	0.698	0.529	0.55	0.444	0.381	0.846	0.846	1.248	2.327	2.877	2.37	2.243	2.475	2.137	2.327	1.989	2.18	2.39	3.385	2.222	1.713	1.798	1.778																																																																																																																																																																				
17		2	1970	1970	1970	2011	0	0	0	1.3	0	39	RINGWIDTH	1	1970-ORIGT17.tif	6/5/2012 8:46	                   		627 6897 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	440.0000 3191.0000 440.0000 68.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	66.0743	0.846	1.164	2.095	1.989	1.312	1.989	1.904	1.312	2.327	0.994	1.142	1.46	1.037	1.079	0.91	1.523	1.439	0.402	0.698	0.74	0.614	1.206	2.327	2.729	2.306	1.523	1.989	2.645	2.941	2.031	2.264	2.412	2.031	2.645	2.602	2.094	1.798	1.566	1.608																																																																																																																																																																				
18		1	1970	1970	1970	2011	0	0	0	1.3	0	30	RINGWIDTH	1	1970-ORIGT18.tif	6/5/2012 8:46	                   		601 4415 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	420.0000 2330.0000 420.0000 4347.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	42.6743	0.106	0.106	0.148	0.148	0.317	0.339	0.55	0.571	0.719	0.635	0.592	0.487	0.614	0.677	0.846	1.439	1.756	1.735	2.073	2.37	2.01	2.285	2.179	1.989	2.56	3.047	4.464	2.983	2.898	1.016																																																																																																																																																																													
19		1	1970	1970	1970	2011	0	0	0	1.3	0	39	RINGWIDTH	1	1970-ORIGT19.tif	6/5/2012 8:46	                   		549 10921 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	324.0000 4929.0000 324.0000 10853.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	125.3359	1.46	1.82	1.925	2.095	1.946	3.216	2.179	1.841	2.285	2.497	3.068	4.21	2.645	3.364	2.602	3.301	2.645	2.624	2.518	3.089	3.068	3.618	2.962	3.427	4.337	4.528	3.216	3.808	4.76	4.549	3.681	4.253	3.152	3.49	3.808	5.058	3.554	6.77	1.566																																																																																																																																																																				
19		2	1970	1970	1970	2011	0	0	0	1.3	0	39	RINGWIDTH	1	1970-ORIGT19.tif	6/5/2012 8:46	                   		549 10921 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	324.0000 4929.0000 324.0000 68.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	102.8457	1.481	1.735	1.925	1.629	1.439	1.502	1.481	1.185	1.312	1.375	1.142	2.433	1.629	2.412	1.396	1.989	1.925	2.095	2.031	2.624	3.872	3.068	3.449	3.089	3.427	3.851	3.364	3.703	3.766	3.428	3.512	3.533	3.533	3.322	3.724	3.808	3.301	6.534	0.533																																																																																																																																																																				
20		1	1970	1970	1970	2011	0	0	0	1.3	0	38	RINGWIDTH	1	1970-ORIGT20.tif	6/5/2012 8:46	                   		575 7342 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	345.0000 3283.0000 345.0000 7274.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	84.4388	0.127	0.339	0.402	0.296	0.148	0.106	0.233	0.19	0.275	0.91	1.375	0.889	1.291	1.375	1.354	0.825	0.931	1.439	1.756	1.946	1.968	2.899	2.877	4.253	4.654	3.618	4.21	4.93	4.062	3.427	3.385	3.195	2.793	3.745	4.485	3.978	4.866	1.355																																																																																																																																																																					
20		2	1970	1970	1970	2011	0	0	0	1.3	0	38	RINGWIDTH	1	1970-ORIGT20.tif	6/5/2012 8:46	                   		575 7342 8 Grey	Intr 0.021203 0.021157 N	Regent Instruments Inc.  WinDENDRO Reg 2008a	0.0 [0]	345.0000 3283.0000 345.0000 68.0000  2.0000	Perp A Int Y	50%	N F Acq	12 1.2922 Lin	0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 	22 41 67 92 117 137 155 171 184 195 204 211 	0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 	0	0	0	0	0	0	68.0207	0.381	0.381	0.275	0.148	0.169	0.148	0.127	0.19	0.169	0.317	0.677	0.465	0.741	0.677	0.846	0.656	0.762	1.1	1.206	1.629	1.904	2.158	2.539	3.3	3.597	3.364	3.533	3.449	2.602	3.11	2.687	2.412	2.75	3.999	4.083	3.724	5.224	0.594																																																																																																																																																																					
